16,44,190,381
0,31,24,97
24,23,14,70
21,66,15,201
21,66,15,34
44,1,6,42
26,62,60,112
0,21,34,148
44,1,82,99
44,1,6,7
44,1,6,7
5,37,87,14
0,31,74,83
44,1,82,99
44,1,82,99
0,21,34,129
21,66,15,201
44,1,82,77
9,35,92,212
26,62,60,112
33,7,90,87
0,92,186,6
11,14,5,178
6,4,25,32
44,1,11,78
44,1,6,7
44,1,82,415
16,47,23,431
44,1,6,206
21,66,15,201
21,15,144,71
0,21,34,148
6,4,25,460
0,10,41,254
44,1,6,7
44,1,11,78
0,31,74,83
44,1,82,99
33,7,182,244
21,88,43,230
0,31,24,247
0,31,24,396
0,21,57,335
44,1,82,99
5,37,87,14
